"행정구역별(1)",행정구역별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"전라남도",신안군,42036,27,313,0.74,-,-,-,2,60,13,57,-,-,2,196,5,0,-,-,5,0,-,-,-,-,-,1,16,23
"경상북도",소계,2733800,2791,43325,1.58,20,7729,0.07,65,8839,1257,2325,11,2829,115,21284,667,0,4,185,630,45,1,2,21,87,2,23,223,311
"경상북도",포항시,515945,608,9508,1.84,5,1950,0.10,12,1151,270,592,-,-,30,5682,159,0,1,72,127,32,-,-,4,29,-,2,14,22
"경상북도",경주시,268160,265,4392,1.64,1,378,0.04,11,1145,112,171,-,-,14,2666,59,0,1,32,67,0,-,-,-,-,-,1,12,16
"경상북도",김천시,143480,124,2206,1.54,2,592,0.14,1,30,59,44,2,821,3,692,31,0,-,-,24,0,-,-,2,27,-,1,15,16
"경상북도",안동시,163713,181,5342,3.26,3,1905,0.18,2,97,75,133,3,751,8,2456,46,0,-,-,43,0,-,-,1,0,-,1,14,25
"경상북도",구미시,426684,432,3603,0.84,3,873,0.07,7,692,207,546,-,-,9,1492,108,0,-,-,90,0,-,-,8,0,-,2,8,12
"경상북도",영주시,107976,118,2259,2.09,1,152,0.09,4,582,49,30,2,461,3,984,28,0,1,50,29,0,-,-,1,0,-,1,10,13
"경상북도",영천시,104970,123,1910,1.82,1,200,0.10,2,959,62,142,-,-,3,576,18,0,1,31,35,0,1,2,-,-,-,1,11,13
"경상북도",상주시,101237,100,1199,1.18,2,419,0.20,-,-,45,129,1,198,3,422,24,0,-,-,24,0,-,-,1,31,-,1,18,25
"경상북도",문경시,72547,85,1225,1.69,1,840,0.14,2,150,47,52,-,-,1,183,18,0,-,-,16,0,-,-,-,-,-,1,9,13
"경상북도",경산시,272070,284,3801,1.40,1,420,0.04,4,757,137,192,1,299,11,2127,71,0,-,-,59,6,-,-,-,-,-,1,8,10
"경상북도",군위군,24465,17,0,0.00,-,-,-,-,-,9,0,-,-,-,-,3,0,-,-,5,0,-,-,-,-,-,1,7,10
"경상북도",의성군,53579,49,1445,2.70,-,-,-,4,271,19,108,2,299,6,767,8,0,-,-,10,0,-,-,-,-,-,1,17,21
"경상북도",청송군,25881,29,304,1.17,-,-,-,1,304,10,0,-,-,-,-,5,0,-,-,9,0,-,-,4,0,1,-,6,11
"경상북도",영양군,17562,7,50,0.28,-,-,-,1,50,1,0,-,-,-,-,3,0,-,-,2,0,-,-,-,-,-,1,5,8
"경상북도",영덕군,39104,38,233,0.60,-,-,-,1,58,18,37,-,-,1,138,9,0,-,-,9,0,-,-,-,-,-,1,8,13
"경상북도",청도군,44129,50,1490,3.38,-,-,-,4,959,20,43,-,-,5,488,9,0,-,-,12,0,-,-,-,-,-,1,8,10
"경상북도",고령군,34673,35,255,0.74,-,-,-,1,79,13,0,-,-,2,176,8,0,-,-,11,0,-,-,-,-,-,1,7,10
"경상북도",성주군,46323,45,983,2.12,-,-,-,2,233,18,21,-,-,5,722,9,0,-,-,11,7,-,-,-,-,-,1,9,11
"경상북도",칠곡군,122789,95,1839,1.50,-,-,-,3,963,46,22,-,-,5,854,23,0,-,-,18,0,-,-,-,-,-,1,7,10
"경상북도",예천군,53811,44,650,1.21,-,-,-,1,181,18,11,-,-,2,458,13,0,-,-,10,0,-,-,-,-,-,1,10,16
"경상북도",봉화군,33150,20,255,0.77,-,-,-,1,97,7,0,-,-,1,158,4,0,-,-,7,0,-,-,-,-,-,1,9,7
"경상북도",울진군,51538,39,334,0.65,-,-,-,1,81,15,52,-,-,2,201,10,0,-,-,11,0,-,-,-,-,-,1,9,16
"경상북도",울릉군,10014,3,42,0.42,-,-,-,-,-,-,-,-,-,1,42,1,0,-,-,1,0,-,-,-,-,1,-,2,3
"경상남도",소계,3448292,3645,63389,1.84,25,9102,0.07,129,15192,1612,3436,28,8988,125,25897,902,32,9,562,802,144,1,0,12,36,1,19,173,221
"경상남도",창원시,1068955,1269,19983,1.87,11,4041,0.10,35,3923,557,947,7,2132,36,8799,325,0,2,112,288,29,1,0,7,0,-,3,10,6
"경상남도",진주시,351095,418,6091,1.73,3,1309,0.09,13,1424,190,418,3,998,6,1808,110,0,2,134,91,0,-,-,-,-,-,1,11,13
"경상남도",통영시,137520,148,2125,1.55,-,-,-,7,1022,74,158,1,299,3,577,34,0,1,51,27,0,-,-,1,18,-,1,3,18
"경상남도",사천시,117207,125,2997,2.56,-,-,-,5,1196,50,164,2,397,6,1240,34,0,-,-,28,0,-,-,-,-,-,1,7,12
"경상남도",김해시,552360,526,11378,2.06,5,1480,0.09,26,2412,221,645,4,1087,31,5579,129,0,2,117,108,58,-,-,-,-,-,1,8,1
"경상남도",밀양시,109371,109,2489,2.28,-,-,-,9,1353,46,79,-,-,6,1009,24,0,1,48,23,0,-,-,-,-,-,1,9,15
"경상남도",거제시,257989,218,2366,0.92,3,713,0.12,6,560,99,282,1,287,2,488,59,0,-,-,45,36,-,-,3,0,-,1,10,12
"경상남도",양산시,354747,368,7573,2.13,3,1559,0.08,10,910,173,344,5,1995,13,2612,85,32,1,100,78,21,-,-,-,-,-,1,6,2
"경상남도",의령군,28426,27,543,1.91,-,-,-,1,56,11,0,1,180,2,307,5,0,-,-,7,0,-,-,-,-,-,1,11,10
"경상남도",함안군,70622,54,1318,1.87,-,-,-,3,369,21,0,-,-,4,931,12,0,-,-,13,0,-,-,1,18,-,1,5,9
"경상남도",창녕군,66098,65,2392,3.62,-,-,-,2,275,28,53,2,949,6,1115,13,0,-,-,14,0,-,-,-,-,-,1,13,19
"경상남도",고성군,54494,47,1081,1.98,-,-,-,3,698,19,0,-,-,2,383,11,0,-,-,12,0,-,-,-,-,-,1,13,12
"경상남도",남해군,44819,44,288,0.64,-,-,-,1,135,24,58,-,-,1,95,9,0,-,-,9,0,-,-,-,-,-,1,9,15
"경상남도",하동군,48082,46,870,1.81,-,-,-,2,283,20,62,1,334,2,191,12,0,-,-,9,0,-,-,-,-,-,1,12,18
"경상남도",산청군,36629,32,136,0.37,-,-,-,-,-,13,136,-,-,-,-,6,0,-,-,13,0,-,-,-,-,1,-,9,15
"경상남도",함양군,40462,39,106,0.26,-,-,-,1,77,21,29,-,-,-,-,8,0,-,-,9,0,-,-,-,-,-,1,10,11
"경상남도",거창군,62958,64,793,1.26,-,-,-,3,295,28,58,-,-,3,440,16,0,-,-,14,0,-,-,-,-,-,1,11,18
"경상남도",합천군,46458,46,860,1.85,-,-,-,2,204,17,3,1,330,2,323,10,0,-,-,14,0,-,-,-,-,-,1,16,15
"제주특별자치도",소계,692032,860,4855,0.70,6,2230,0.09,7,785,436,404,-,-,9,1432,216,0,-,-,182,0,1,4,3,0,-,6,11,47
"제주특별자치도",제주시,501791,655,4331,0.86,5,1942,0.10,4,561,337,392,-,-,9,1432,164,0,-,-,132,0,1,4,3,0,-,3,6,23
"제주특별자치도",서귀포시,190241,205,524,0.28,1,288,0.05,3,224,99,12,-,-,-,-,52,0,-,-,50,0,-,-,-,-,-,3,5,24
